Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate (BS/2),Hourly Rate,Employee # (field 19),Date,Time-in,Time-out,Staffed Time,sss,pag-ibig,philhealth,withholding tax,Salary
1,Garcia,Manuel III,10/11/1983,Valero Carpark Building Valero Street 1227 Makati City,966-860-270,44-4506057-3,8-201-268-539-51,442-605-657-000,6-9129533087-0,Regular,Chief Executive Officer,N/A,90000,1500,2000,1000,45000,535.71,1,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,9221.39
2,Lim,Antonio,6/19/1988,San Antonio De Padua 2 Block 1 Lot 8 and 2 Dasmarinas Cavite,171-867-411,52-2061274-9,3-3173564633-8,683-102-776-000,6-6390499541-1,Regular,Chief Operating Officer,Manuel III Garcia,60000,1500,2000,1000,30000,357.14,2,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,7614.26
3,Aquino,Bianca Sofia,8/4/1989,Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100 Quezon City,966-889-370,30-8870406-2,1-7745118966-5,971-711-280-000,1-7151977396-9,Regular,Chief Finance Officer,Manuel III Garcia,60000,1500,2000,1000,30000,357.14,3,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,7614.26
4,Reyes,Isabella,6/16/1994,460 Solanda Street Intramuros 1000 Manila,786-868-477,40-2511815-0,3-4191141125-4,876-809-437-000,4-1694677604-1,Regular,Chief Marketing Officer,Manuel III Garcia,60000,1500,2000,1000,30000,357.14,4,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,7614.26
5,Hernandez,Eduard,9/23/1989,National Highway Gingoog Misamis Occidental,088-861-012,50-5577638-1,9-5743619181-2,031-702-374-000,9-5234722245-7,Regular,IT Operations and Systems,Antonio Lim,52670,1500,1000,1000,26335,313.51,5,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,6221.59
6,Villanueva,Andrea Mae,2/14/1988,17/85 Stracke Via Suite 042 Poblacion Las Piñas 4783 Dinagat Islands,918-621-603,49-1632020-8,3-8218945314-5,317-674-022-000,4-4109336964-6,Regular,HR Manager,Antonio Lim,52670,1500,1000,1000,26335,313.51,6,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,6221.59
7,San Jose,Brad ,3/15/1996,99 Strosin Hills Poblacion Bislig 5340 Tawi-Tawi,797-009-261,40-2400714-1,2-3919292693-9,672-474-690-000,2-1085020996-4,Regular,HR Team Leader,Andrea Mae Villanueva,42975,1500,800,800,21488,255.8,7,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,5302.2
8,Romualdez,Alice,5/14/1992,12A/33 Upton Isle Apt. 420 Roxas City 1814 Surigao del Norte,983-606-799,55-4476527-2,5-4565264023-2,888-572-294-000,2-1138555688-8,Regular,HR Rank and File,Jose Brad San,22500,1500,500,500,11250,133.93,8,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,3605.37
9,Atienza,Rosie ,9/24/1948,90A Dibbert Terrace Apt. 190 San Lorenzo 6056 Davao del Norte,266-036-427,41-0644692-3,7-0898823485-3,604-997-793-000,2-6010773235-4,Regular,HR Rank and File,Jose Brad San,22500,1500,500,500,11250,133.93,9,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,3605.37
10,Alvaro,Roderick,3/30/1988,#284 T. Morato corner Scout Rallos Street Quezon City,053-381-386,64-7605054-4,5-7811485319-4,525-420-419-000,7-9925409521-2,Regular,Accounting Head,Bianca Sofia Aquino,52670,1500,1000,1000,26335,313.51,10,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,6221.59
11,Salcedo,Anthony,9/14/1993,93/54 Shanahan Alley Apt. 183 Santo Tomas 1572 Masbate,070-766-300,26-9647608-3,1-2644531565-1,210-805-911-000,2-1800247345-4,Regular,Payroll Manager,Roderick Alvaro,50825,1500,1000,1000,25413,302.53,11,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,6122.77
12,Lopez,Josie ,1/14/1987,49 Springs Apt. 266 Poblacion Taguig 3200 Occidental Mindoro,478-355-427,44-8563448-3,4-3170901101-2,218-489-737-000,1-1307129335-4,Regular,Payroll Team Leader,Anthony Salcedo,38475,1500,800,800,19238,229.02,12,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,5061.18
13,Farala,Martha,1/11/1942,42/25 Sawayn Stream Ubay 1208 Zamboanga del Norte,329-034-366,45-5656375-0,2-3369389724-7,210-835-851-000,6-3113028354-6,Regular,Payroll Rank and File,Anthony Salcedo,24000,1500,500,500,12000,142.86,13,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,3685.74
14,Martinez,Leila,7/11/1970,37/46 Kulas Roads Maragondon 0962 Quirino,877-110-749,27-2090996-4,5-1574105749-6,275-792-513-000,1-0120544588-6,Regular,Payroll Rank and File,Anthony Salcedo,24000,1500,500,500,12000,142.86,14,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,3685.74
15,Romualdez,Fredrick ,3/10/1985,22A/52 Lubowitz Meadows Pililla 4895 Zambales,023-079-009,26-8768374-1,3-0836686005-9,598-065-761-000,2-2305770785-3,Regular,Account Manager,Antonio Lim,53500,1500,1000,1000,26750,318.45,15,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,6266.05
16,Mata,Christian,10/21/1987,90 O'Keefe Spur Apt. 379 Catigbian 2772 Sulu,783-776-744,49-2959312-6,8-2418796196-2,103-100-522-000,6-3105285346-4,Regular,Account Team Leader,Fredrick Romualdez,42975,1500,800,800,21488,255.8,16,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,5302.2
17,De Leon,Selena ,2/20/1975,89A Armstrong Trace Compostela 7874 Maguindanao,975-432-139,27-2090208-8,5-8727246993-8,482-259-498-000,7-1900760846-4,Regular,Account Team Leader,Fredrick Romualdez,41850,1500,800,800,20925,249.11,17,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,5241.99
18,San Jose,Allison ,6/24/1986,08 Grant Drive Suite 406 Poblacion Iloilo City 9186 La Union,179-075-129,45-3251383-0,7-4514845952-1,121-203-336-000,1-1490185934-3,Regular,Account Rank and File,Christian Mata,22500,1500,500,500,11250,133.93,18,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,3605.37
19,Rosario,Cydney ,10/6/1996,93A/21 Berge Points Tapaz 2180 Quezon,868-819-912,49-1629900-2,5-7925343549-9,122-244-511-000,2-6510435864-3,Regular,Account Rank and File,Christian Mata,22500,1500,500,500,11250,133.93,19,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,3605.37
20,Bautista,Mark ,2/12/1991,65 Murphy Center Suite 094 Poblacion Palayan 5636 Quirino,683-725-348,49-1647342-5,3-9966515713-5,273-970-941-000,2-6005458557-5,Regular,Account Rank and File,Christian Mata,23250,1500,500,500,11625,138.39,20,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,3645.51
